id;login;rating;num_games;filteredRanking;ranking
58789;keyser;2257;1063;1;3
21139;Adjux;2219;1211;2;4
781;Zock;2215;1433;3;5
157638;Mephi;2190;507;4;6
136480;WinstonSmith;2140;2318;5;7
121266;Nexus-;2137;1413;6;8
40063;Snowbound;2048;367;7;9
145;ZLO;2018;2157;8;10
159301;OxideIon;1985;594;9;11
900;Voodoo;1978;2158;10;12
132546;Blast_Chilled;1967;961;11;13
118147;JaggedAppliance;1960;1584;12;14
147260;Robogear;1944;1383;13;15
163523;ThePwnable;1940;216;14;16
648;Tex;1936;863;15;17
22869;Demolisher_Janus;1933;1408;16;18
44479;StayBeCool;1915;2702;17;19
132779;Ti_Xi;1874;3055;18;21
162237;Mountain;1874;2107;19;22
134718;This_Guy;1857;664;20;23
20048;Death_Squad;1829;389;21;25
62952;alegnagyobbkiraj;1827;1356;22;27
63950;EcoNoob;1823;256;23;28
83736;GodKngXerxesNoob;1820;1299;24;29
24715;Heaven;1819;1359;25;30
83878;Thistle_Banger;1810;169;26;33
111358;BlInChIk;1806;851;27;34
44898;Yudi;1804;811;28;35
22745;Chosen;1803;480;29;36
104920;HackingNoob;1803;668;30;37
145606;Fyren;1798;888;31;38
33632;silentNoob;1786;3951;32;40
105435;KoisQ;1784;1142;33;41
908;BRS_DCCC97;1780;1308;34;42
17884;WreckedMachines;1773;659;35;43
64928;Morax;1760;2267;36;44
132945;Snoop;1760;382;37;45
115624;ThomasHiatt;1759;1527;38;46
899;Koecher;1749;594;39;48
14629;Mr-Smith;1749;906;40;49
106617;T___B_______AMD;1748;695;41;50
24;ObiWanKeNoobi;1738;570;42;51
196191;Space4Man;1734;873;43;52
31333;TestPlay;1716;2178;44;56
113066;Nyx2;1700;493;45;57
19844;Electrician;1699;3315;46;58
7623;NubFriedRice;1687;2419;47;60
177202;MASSive;1676;675;48;62
129714;willboyle;1667;249;49;63
67852;Rumadai;1664;294;50;64
89695;TURBO2;1662;1674;51;65
206692;Silene_Undulata;1662;194;52;66
18481;Holzklotz;1656;1525;53;68
191563;Amnesia_;1650;74;54;69
132565;RecklessNoob;1642;662;55;71
213415;BloodyRed;1632;56;56;72
83828;usernotfound;1619;786;57;74
70924;Ravager_Ash;1610;671;58;76
36854;R4sperdan;1593;1751;59;78
52230;Achiraaz;1589;1832;60;79
3355;IcyKnightmare;1587;191;61;80
118489;Hascins;1586;805;62;81
85039;WoundedElkNoob;1585;1067;63;82
45006;MrMackey;1574;2452;64;83
4953;edizon;1573;1064;65;84
25992;Templar;1570;1270;66;85
578;Smurf_Hunter;1562;233;67;87
129525;WiseOldDog;1555;994;68;90
94204;Okpuck;1554;300;69;91
163594;RightClicks;1554;324;70;92
113933;ShadesOfBlue;1553;1754;71;93
178704;Black_Owl;1551;388;72;94
636;FunkOff;1549;730;73;95
18746;Commander_Adama;1548;3501;74;96
73120;BlazingMissile;1548;554;75;97
147534;Stockshock;1541;565;76;99
791;Plasma_Wolf;1539;1620;77;100
102532;Clinch;1538;1135;78;101
860;Captainchlorgas;1533;4399;79;103
133509;G0DZ1ll4;1525;377;80;104
37530;Pietros;1524;2086;81;106
160729;F-Odin;1523;268;82;107
42683;SilverKronos;1518;1107;83;108
76302;Moral_Constraint;1515;2311;84;109
64406;PappyNoob;1511;2114;85;110
99910;KuL;1502;777;86;111
67961;Freedom_;1499;480;87;112
130405;ThermoNuc;1494;1421;88;113
70686;iznogoud;1492;2512;89;114
47480;SYSTEM_FAILURE;1490;916;90;115
186589;Faowjussk;1478;63;91;118
133327;AriGold;1476;551;92;119
109447;ScorpionLion;1472;821;93;121
23997;exterminator-HUN;1470;1297;94;122
104298;Extol;1459;731;95;126
47152;Donalbain;1455;4155;96;129
134680;RainbowKiss;1444;1059;97;131
88157;Q_Continuum;1443;1167;98;132
104617;The_Witcher;1442;1596;99;133
16370;JeanLu;1440;6519;100;134
66471;Battlefront;1439;268;101;136
1877;IceCrowe;1432;656;102;138
111077;AchievedJaguar8;1431;147;103;140
72580;JoonasTo;1430;262;104;141
50643;Anihilnine;1425;2537;105;143
82240;seero;1412;660;106;146
195833;Zundel;1408;227;107;147
70341;wtfboom;1407;203;108;148
94770;PhilipJFry;1397;266;109;152
58012;Hixtory;1388;1855;110;153
606;C4RL170S_PT;1380;2897;111;155
195740;Dro;1380;144;112;156
59364;makrale;1378;2281;113;157
1402;codeyla;1377;158;114;158
128626;Giebmasse;1377;171;115;159
3713;Agrum;1371;4913;116;161
90475;soilworkerNoob;1370;1292;117;162
54503;Mully;1369;78;118;163
163357;GandalfTheBlack;1358;220;119;168
189718;Eviscerator_;1356;272;120;170
139758;Inspektor_Kot;1352;300;121;171
14923;Naggl;1351;894;122;172
63622;GFY_DePonny;1346;2057;123;173
1309;Com;1342;500;124;175
175858;FruchtYogurt;1338;315;125;179
1499;SSSX_NI;1337;1535;126;180
15329;Lemming_King;1337;180;127;181
1102;Swisscow;1331;1640;128;184
241;CocoaMoko;1325;588;129;187
43338;WSL;1323;140;130;188
99135;randompreson;1321;807;131;189
20535;Zappa;1316;1277;132;191
20508;Mielus;1313;2608;133;192
168110;Array2016;1306;162;134;195
3160;BattleMoose;1305;443;135;196
5147;Quagar;1302;6219;136;197
13551;ElKabong;1302;903;137;198
79268;Meow;1291;389;138;203
127117;Gurzil;1291;1697;139;204
13043;michka;1281;4668;140;205
22020;Neos;1278;342;141;207
189991;Dull-Witted;1277;79;142;208
1961;velaone;1276;71;143;209
38951;LUCHNIK;1271;1596;144;210
185688;White_Knight;1271;217;145;211
50883;Sckrejjet;1265;589;146;213
177063;stolpskott27;1259;302;147;215
110058;SQuirtlEe;1252;156;148;216
92766;Glassy;1247;992;149;218
48434;ax0lotl;1232;1425;150;224
45010;D0DY;1231;194;151;226
49024;Delkrak;1228;315;152;228
36630;PhysicsNoob;1227;349;153;229
28354;Arrogant_Nation;1226;98;154;230
87650;Agent_Washingtub;1214;294;155;233
96514;Medicraze;1211;322;156;234
14492;alexanderberlin;1209;4314;157;235
226199;Saturnian;1208;144;158;237
114021;speed3;1199;976;159;238
34434;HighLander-TX;1189;3131;160;242
26797;clystere;1187;276;161;244
139168;Plodox;1179;455;162;245
138885;Suryk;1178;359;163;246
90730;Alpheus;1174;202;164;247
78117;SuperZero;1170;453;165;248
132874;Selen;1169;73;166;250
127320;LaQuica;1165;2818;167;252
93450;TridentArcher;1163;231;168;254
136491;Gorzag;1162;740;169;255
435;Hammac;1157;4777;170;259
180720;Wifi_;1155;61;171;261
14491;oberchef;1153;340;172;263
1245;Nooby;1151;198;173;265
145245;koleos;1150;2965;174;266
218253;White_Free_Owl;1150;241;175;267
123464;Armaster;1149;72;176;268
144839;Bullydozer;1147;85;177;270
205607;Palpatine;1145;257;178;271
45;Albatard;1140;434;179;274
118213;hawk289;1139;3582;180;275
116867;Explosive;1134;295;181;276
95407;NomenNominandum;1133;68;182;277
38166;Sloth;1129;172;183;279
90064;Insolence;1127;494;184;280
123626;Mastermandel;1127;798;185;281
173654;pimpdaddysmith;1127;294;186;282
185631;BravePawn;1126;292;187;283
30361;BRNKoINSANITY;1118;276;188;287
148383;peterpji;1116;61;189;289
47827;Feather;1113;79;190;291
70140;FadingBadger;1112;310;191;292
